道路名称,日期,时,分,路况整体评价,路况整体描述,拥堵路段,路段拥堵评价,较十分钟前拥堵趋势,拥堵距离,平均通行速度,,,,
G312,2019/5/1,17,28,1,畅通,"南向北,沪霍线附近",3,加重,1920,15.75,,5/1 17:28,,28
G312,2019/5/1,17,38,1,畅通,沪霍线,3,加重,320,22.45,,5/1 17:38,,38
G312,2019/5/1,17,48,1,畅通,"南向北,沪霍线附近",4,加重,2510,11.09,,5/1 17:48,,48
G312,2019/5/1,17,58,1,畅通,"北向南,沪霍线附近",3,加重,1420,14.51,,5/1 17:58,,58
G312,2019/5/1,18,8,1,畅通,"北向南,沪霍线附近",3,加重,210,16.34,,5/1 18:08,,08
G312,2019/5/1,18,18,1,畅通,"西向东,从五里铺桥到兰东建材装饰批发市场-中1排",3,加重,3080,21.01,,5/1 18:18,,18
G312,2019/5/1,18,28,1,畅通,"北向南,薇乐大道附近",3,加重,330,18.6,,5/1 18:28,,28
G312,2019/5/1,18,38,1,畅通,"西向东,从东岗东路到嘉峪关北路",3,加重,840,17.75,,5/1 18:38,,38
G312,2019/5/1,18,48,1,畅通,"南向北,沪霍线附近",3,加重,610,19.11,,5/1 18:48,,48
G312,2019/5/1,18,58,1,畅通,"南向西,G312附近",3,加重,710,17.71,,5/1 18:58,,58
G312,2019/5/1,19,8,1,畅通,"东向西,沪霍线附近",3,加重,120,18.4,,5/1 19:08,,08
G312,2019/5/1,19,18,1,畅通,"西向东,高科路附近",3,加重,120,18.6,,5/1 19:18,,18
G312,2019/5/1,19,28,1,畅通,"西向东,天水南路附近",2,加重,130,21.46,,5/1 19:28,,28
G312,2019/5/1,19,38,1,畅通,"东向西,民主街附近",3,加重,120,24.91,,5/1 19:38,,38
G312,2019/5/1,19,48,1,畅通,"西向东,东岗东路附近",3,加重,160,19.89,,5/1 19:48,,48
G312,2019/5/1,19,58,1,畅通,,,,0,,,5/1 19:58,,58
G312,2019/5/1,20,8,1,畅通,"北向南,从薇乐大道到Y271",3,加重,160,21.61,,5/1 20:08,,08
G312,2019/5/1,20,18,1,畅通,"北向南,从薇乐大道到Y271",3,加重,160,15.22,,5/1 20:18,,18
G312,2019/5/1,20,28,1,畅通,"北向南,从薇乐大道到Y271",3,加重,160,16.94,,5/1 20:28,,28
G312,2019/5/1,20,38,1,畅通,"东向北,沪霍线附近",2,加重,2960,33.76,,5/1 20:38,,38
G312,2019/5/1,20,49,1,畅通,"西向东,从兰东建材装饰批发市场-中3排到东岗东路",2,加重,1460,29.08,,5/1 20:49,,49
G312,2019/5/1,20,59,1,畅通,"西向东,沪霍线附近",3,加重,150,21.56,,5/1 20:59,,59
G312,2019/5/1,21,9,1,畅通,"东向西,沪霍线附近",2,加重,160,35.97,,5/1 21:09,,09
G312,2019/5/1,21,19,1,畅通,"西向东,沪霍线附近",3,加重,100,21.21,,5/1 21:19,,19
G312,2019/5/1,21,29,1,畅通,,,,0,,,5/1 21:29,,29
G312,2019/5/1,21,39,1,畅通,,,,0,,,5/1 21:39,,39
G312,2019/5/1,21,49,1,畅通,"南向北,从零三一专道到G312",3,加重,110,24.43,,5/1 21:49,,49
G312,2019/5/1,21,59,1,畅通,,,,0,,,5/1 21:59,,59
G312,2019/5/1,22,9,1,畅通,,,,0,,,5/1 22:09,,09
G312,2019/5/1,22,19,1,畅通,,,,0,,,5/1 22:19,,19
G312,2019/5/1,22,29,1,畅通,"北向东,沪霍线附近",3,加重,130,18.48,,5/1 22:29,,29
G312,2019/5/1,22,39,1,畅通,,,,0,,,5/1 22:39,,39
G312,2019/5/1,22,49,1,畅通,"东向西,东岗西路附近",3,加重,170,17.07,,5/1 22:49,,49
G312,2019/5/1,22,59,1,畅通,,,,0,,,5/1 22:59,,59
G312,2019/5/1,23,9,1,畅通,,,,0,,,5/1 23:09,,09
G312,2019/5/1,23,19,1,畅通,"北向南,从薇乐大道到Y271",3,加重,160,19.41,,5/1 23:19,,19
G312,2019/5/1,23,29,1,畅通,,,,0,,,5/1 23:29,,29
G312,2019/5/1,23,39,1,畅通,"南向北,从G312到青龙路",3,加重,330,19.46,,5/1 23:39,,39
G312,2019/5/1,23,49,1,畅通,,,,0,,,5/1 23:49,,49
G312,2019/5/1,23,59,1,畅通,,,,0,,,5/1 23:59,,59
G312,2019/5/2,0,9,1,畅通,,,,0,,,5/2 0:09,,09
G312,2019/5/2,0,19,1,畅通,,,,0,,,5/2 0:19,,19
G312,2019/5/2,0,29,1,畅通,,,,0,,,5/2 0:29,,29
G312,2019/5/2,0,39,1,畅通,,,,0,,,5/2 0:39,,39
G312,2019/5/2,0,49,1,畅通,,,,0,,,5/2 0:49,,49
G312,2019/5/2,0,59,1,畅通,,,,0,,,5/2 0:59,,59
G312,2019/5/2,1,9,1,畅通,"北向南,从定矿段到高科路",2,加重,110,23.6,,5/2 1:09,,09
G312,2019/5/2,1,19,1,畅通,,,,0,,,5/2 1:19,,19
G312,2019/5/2,1,29,1,畅通,,,,0,,,5/2 1:29,,29
G312,2019/5/2,1,39,1,畅通,,,,0,,,5/2 1:39,,39
G312,2019/5/2,1,49,1,畅通,,,,0,,,5/2 1:49,,49
G312,2019/5/2,1,59,1,畅通,"西向东,沪霍线附近",3,加重,200,18.6,,5/2 1:59,,59
G312,2019/5/2,2,9,1,畅通,"西向南,和平大道附近",3,加重,340,17.64,,5/2 2:09,,09
G312,2019/5/2,2,19,1,畅通,"西向东,荣兰线附近",3,加重,370,18.33,,5/2 2:19,,19
G312,2019/5/2,2,29,1,畅通,,,,0,,,5/2 2:29,,29
G312,2019/5/2,2,39,1,畅通,,,,0,,,5/2 2:39,,39
G312,2019/5/2,2,49,1,畅通,"北向南,G312附近",3,加重,400,23.5,,5/2 2:49,,49
G312,2019/5/2,2,59,1,畅通,,,,0,,,5/2 2:59,,59
G312,2019/5/2,3,9,1,畅通,,,,0,,,5/2 3:09,,09
G312,2019/5/2,3,19,1,畅通,,,,0,,,5/2 3:19,,19
G312,2019/5/2,3,29,1,畅通,,,,0,,,5/2 3:29,,29
G312,2019/5/2,3,39,1,畅通,,,,0,,,5/2 3:39,,39
G312,2019/5/2,3,50,1,畅通,,,,0,,,5/2 3:50,,50
G312,2019/5/2,4,0,1,畅通,,,,0,,,5/2 4:00,,00
G312,2019/5/2,4,10,1,畅通,,,,0,,,5/2 4:10,,10
G312,2019/5/2,4,20,1,畅通,,,,0,,,5/2 4:20,,20
G312,2019/5/2,4,30,1,畅通,,,,0,,,5/2 4:30,,30
G312,2019/5/2,4,40,1,畅通,,,,0,,,5/2 4:40,,40
G312,2019/5/2,4,50,1,畅通,,,,0,,,5/2 4:50,,50
G312,2019/5/2,5,0,1,畅通,,,,0,,,5/2 5:00,,00
G312,2019/5/2,5,10,1,畅通,,,,0,,,5/2 5:10,,10
G312,2019/5/2,5,20,1,畅通,,,,0,,,5/2 5:20,,20
G312,2019/5/2,5,30,1,畅通,,,,0,,,5/2 5:30,,30
G312,2019/5/2,5,40,1,畅通,"北向南,沪霍线附近",3,加重,120,23.05,,5/2 5:40,,40
G312,2019/5/2,5,50,1,畅通,,,,0,,,5/2 5:50,,50
G312,2019/5/2,6,0,1,畅通,,,,0,,,5/2 6:00,,00
G312,2019/5/2,6,10,1,畅通,,,,0,,,5/2 6:10,,10
G312,2019/5/2,6,20,1,畅通,"北向东,沪霍线附近",3,加重,270,23.82,,5/2 6:20,,20
G312,2019/5/2,6,30,1,畅通,,,,0,,,5/2 6:30,,30
G312,2019/5/2,6,40,1,畅通,,,,0,,,5/2 6:40,,40
G312,2019/5/2,6,50,1,畅通,,,,0,,,5/2 6:50,,50
G312,2019/5/2,7,0,1,畅通,"北向南,G312附近",3,加重,160,21.67,,5/2 7:00,,00
G312,2019/5/2,7,10,1,畅通,,,,0,,,5/2 7:10,,10
G312,2019/5/2,7,20,1,畅通,,,,0,,,5/2 7:20,,20
G312,2019/5/2,7,30,1,畅通,,,,0,,,5/2 7:30,,30
G312,2019/5/2,7,40,1,畅通,,,,0,,,5/2 7:40,,40
G312,2019/5/2,7,50,1,畅通,,,,0,,,5/2 7:50,,50
G312,2019/5/2,8,0,1,畅通,,,,0,,,5/2 8:00,,00
G312,2019/5/2,8,10,1,畅通,"西向东,从太白东路到兴隆山大道",3,加重,300,20.85,,5/2 8:10,,10
G312,2019/5/2,8,20,1,畅通,"北向南,从薇乐大道到Y271",3,加重,160,23.38,,5/2 8:20,,20
G312,2019/5/2,8,30,1,畅通,"西向东,东岗东路附近",2,加重,620,25.57,,5/2 8:30,,30
G312,2019/5/2,8,40,1,畅通,"北向南,从薇乐大道到Y271",2,加重,160,24.73,,5/2 8:40,,40
G312,2019/5/2,8,50,1,畅通,"西向东,从东岗东路到嘉峪关北路",2,加重,1170,27.13,,5/2 8:50,,50
G312,2019/5/2,9,0,1,畅通,"西向东,东岗东路附近",3,加重,940,23.68,,5/2 9:00,,00
G312,2019/5/2,9,10,1,畅通,"北向南,从薇乐大道到Y271",3,加重,160,19.2,,5/2 9:10,,10
G312,2019/5/2,9,20,1,畅通,"西向东,沪霍线附近",3,加重,100,22.75,,5/2 9:20,,20
G312,2019/5/2,9,30,1,畅通,"西向东,东岗东路附近",3,加重,620,15.99,,5/2 9:30,,30
G312,2019/5/2,9,40,1,畅通,"东向西,东岗西路附近",3,加重,160,22.68,,5/2 9:40,,40
G312,2019/5/2,9,50,1,畅通,"东向西,沪霍线附近",3,加重,170,19.59,,5/2 9:50,,50
G312,2019/5/2,10,1,1,畅通,"西向东,东岗东路附近",3,加重,430,22.95,,5/2 10:01,,01
G312,2019/5/2,10,11,1,畅通,"北向南,薇乐大道附近",4,加重,540,5.36,,5/2 10:11,,11
G312,2019/5/2,10,21,1,畅通,"东向西,沪霍线附近",3,加重,150,21.69,,5/2 10:21,,21
G312,2019/5/2,10,31,1,畅通,"东向北,沪霍线附近",3,加重,310,17.94,,5/2 10:31,,31
G312,2019/5/2,10,41,1,畅通,沪霍线,2,加重,760,32.77,,5/2 10:41,,41
G312,2019/5/2,10,51,1,畅通,"东向西,从甘肃省钱币博物馆到平凉路",3,加重,160,18.6,,5/2 10:51,,51
G312,2019/5/2,11,1,1,畅通,"北向东,沪霍线附近",3,加重,470,18,,5/2 11:01,,01
G312,2019/5/2,11,11,1,畅通,"东向西,从东岗东路到范家湾路",2,加重,190,23.81,,5/2 11:11,,11
G312,2019/5/2,11,21,1,畅通,"东向西,从甘肃省钱币博物馆到平凉路",3,加重,160,18.6,,5/2 11:21,,21
G312,2019/5/2,11,31,1,畅通,"北向南,石定段附近",3,加重,100,21.92,,5/2 11:31,,31
G312,2019/5/2,11,41,1,畅通,"东向西,东岗东路附近",3,加重,120,22.98,,5/2 11:41,,41
G312,2019/5/2,11,51,1,畅通,"西向东,天水南路附近",3,加重,110,18.6,,5/2 11:51,,51
G312,2019/5/2,12,1,1,畅通,"北向南,G312附近",3,加重,210,22.69,,5/2 12:01,,01
G312,2019/5/2,12,11,1,畅通,"北向南,G312附近",3,加重,710,20.89,,5/2 12:11,,11
G312,2019/5/2,12,21,1,畅通,"西向东,东岗东路附近",3,加重,430,17.82,,5/2 12:21,,21
G312,2019/5/2,12,31,1,畅通,"西向东,东岗东路附近",3,加重,470,20.96,,5/2 12:31,,31
G312,2019/5/2,12,41,1,畅通,"东向西,沪霍线附近",3,加重,150,18.41,,5/2 12:41,,41
G312,2019/5/2,12,51,1,畅通,"东向西,沪霍线附近",3,加重,150,21.98,,5/2 12:51,,51
G312,2019/5/2,13,1,1,畅通,"北向南,沪霍线附近",2,加重,3530,29.71,,5/2 13:01,,01
G312,2019/5/2,13,11,1,畅通,"南向北,和平大道附近",3,加重,220,20.89,,5/2 13:11,,11
G312,2019/5/2,13,21,1,畅通,"北向南,沪霍线附近",2,加重,2610,34.52,,5/2 13:21,,21
G312,2019/5/2,13,31,1,畅通,"东向西,沪霍线附近",3,加重,150,20.23,,5/2 13:31,,31
G312,2019/5/2,13,41,1,畅通,"西向东,东岗东路附近",3,加重,940,19.17,,5/2 13:41,,41
G312,2019/5/2,13,51,1,畅通,"北向南,金川大道附近",4,加重,720,6,,5/2 13:51,,51
G312,2019/5/2,14,1,1,畅通,"东向西,沪霍线附近",2,加重,1930,33.58,,5/2 14:01,,01
G312,2019/5/2,14,11,1,畅通,"东向北,沪霍线附近",3,加重,380,18.6,,5/2 14:11,,11
G312,2019/5/2,14,21,1,畅通,"西向东,从五里铺桥到焦家湾东路",2,加重,3160,24.89,,5/2 14:21,,21
G312,2019/5/2,14,31,1,畅通,"北向南,沪霍线附近",3,加重,110,19.93,,5/2 14:31,,31
G312,2019/5/2,14,41,1,畅通,"西向东,东岗东路附近",3,加重,470,22.44,,5/2 14:41,,41
G312,2019/5/2,14,51,1,畅通,"东向西,沪霍线附近",3,加重,150,20.28,,5/2 14:51,,51
G312,2019/5/2,15,1,1,畅通,"西向东,从东岗东路到东岗小游园",3,加重,1060,19.39,,5/2 15:01,,01
G312,2019/5/2,15,11,1,畅通,"西向东,东岗东路附近",3,加重,940,17.25,,5/2 15:11,,11
G312,2019/5/2,15,21,1,畅通,"东向西,G312附近",3,加重,600,14.21,,5/2 15:21,,21
G312,2019/5/2,15,31,1,畅通,"西向东,从五里铺桥到嘉峪关北路",3,加重,1350,14.45,,5/2 15:31,,31
